backbone,mode,port,params_m,flops_g,best_epoch,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,normal_support,lowvis_precision,lowvis_recall,lowvis_f1,lowvis_support,seafog_precision,seafog_recall,seafog_f1,seafog_support,aber_normal_to_lowvis,aber_normal_to_seafog,aber_lowvis_to_normal,aber_lowvis_to_seafog,aber_seafog_to_lowvis,aber_seafog_to_normal
xception,typeA_3,yeosu,20.81,-1.0,14,0.7995279783801886,0.7433333333333333,0.7238045570541097,0.7995279783801885,0.7433333333333333,0.7238045570541097,0.9130434782608696,0.98,0.945337620578778,600,0.5786578657865786,0.8766666666666667,0.6971504307488403,600,0.9068825910931174,0.3733333333333333,0.5289256198347108,600,0.0116666666666666,0.0083333333333333,0.0933333333333333,0.03,0.6266666666666667,0.0
xception,typeA_3,haeundae,20.81,-1.0,2,0.7835819784707709,0.7677777777777779,0.7585397992567678,0.7835819784707708,0.7677777777777778,0.758539799256768,0.8703403565640194,0.895,0.8824979457682827,600,0.6687344913151365,0.8983333333333333,0.7667140825035562,600,0.8116710875331565,0.51,0.6264073694984647,600,0.0683333333333333,0.0366666666666666,0.02,0.0816666666666666,0.3766666666666666,0.1133333333333333
xception,typeA_7,daesan,21.74,-1.0,11,0.8855464853094194,0.8727777777777778,0.8749192255151911,0.8855464853094193,0.8727777777777778,0.8749192255151911,0.9076923076923076,0.885,0.8962025316455696,600,0.7647887323943662,0.905,0.8290076335877863,600,0.984158415841584,0.8283333333333334,0.8995475113122172,600,0.115,0.0,0.0816666666666666,0.0133333333333333,0.1633333333333333,0.0083333333333333
xception,typeA_7,gunsan,21.74,-1.0,6,0.3867055296915775,0.3794444444444444,0.3012901809966569,0.3867055296915775,0.3794444444444444,0.3012901809966569,0.3456624075319435,0.8566666666666667,0.492573071394346,600,0.1392405063291139,0.0183333333333333,0.03240058910162,600,0.6752136752136753,0.2633333333333333,0.3788968824940047,600,0.0483333333333333,0.095,0.95,0.0316666666666666,0.065,0.6716666666666666
xception,typeA_7,yeosu,21.74,-1.0,9,0.7943744788795667,0.7294444444444445,0.7061197409020057,0.7943744788795667,0.7294444444444445,0.7061197409020057,0.8966565349544073,0.9833333333333332,0.9379968203497616,600,0.5630434782608695,0.8633333333333333,0.6815789473684211,600,0.9234234234234234,0.3416666666666667,0.4987834549878345,600,0.015,0.0016666666666666,0.11,0.0266666666666666,0.655,0.0033333333333333
xception,typeA_7,haeundae,21.74,-1.0,3,0.7014729963305769,0.6805555555555555,0.6480672578847076,0.7014729963305769,0.6805555555555556,0.6480672578847075,0.7455089820359282,0.83,0.7854889589905363,600,0.6152125279642058,0.9166666666666666,0.7362784471218207,600,0.7436974789915967,0.295,0.4224343675417661,600,0.1083333333333333,0.0616666666666666,0.0433333333333333,0.04,0.465,0.24
xception,typeA_11,daesan,23.39,-1.0,3,0.8812182459460924,0.8777777777777778,0.877538128974885,0.8812182459460925,0.8777777777777778,0.877538128974885,0.8118518518518518,0.9133333333333332,0.8596078431372549,600,0.8876404494382022,0.79,0.8359788359788359,600,0.9441624365482234,0.93,0.9370277078085644,600,0.0516666666666666,0.035,0.19,0.02,0.0483333333333333,0.0216666666666666
xception,typeA_11,gunsan,23.39,-1.0,23,0.7157527072102278,0.7133333333333333,0.7118032668417399,0.7157527072102278,0.7133333333333334,0.7118032668417399,0.7395626242544732,0.62,0.6745240253853128,600,0.7184466019417476,0.74,0.729064039408867,600,0.6892488954344624,0.78,0.7318217357310399,600,0.1183333333333333,0.2616666666666666,0.17,0.09,0.1716666666666666,0.0483333333333333
xception,typeA_11,yeosu,23.39,-1.0,2,0.7895019079642015,0.7011111111111111,0.6817310253385598,0.7895019079642014,0.7011111111111111,0.6817310253385598,0.8431372549019608,0.9316666666666666,0.885193982581156,600,0.534983853606028,0.8283333333333334,0.6500981033355134,600,0.9903846153846154,0.3433333333333333,0.5099009900990099,600,0.0683333333333333,0.0,0.1683333333333333,0.0033333333333333,0.6516666666666666,0.005
xception,typeA_11,haeundae,23.39,-1.0,1,0.7149338012542126,0.6927777777777777,0.6705620520697253,0.7149338012542126,0.6927777777777778,0.6705620520697254,0.8322884012539185,0.885,0.8578352180936996,600,0.5796610169491525,0.855,0.6909090909090909,600,0.7328519855595668,0.3383333333333333,0.4629418472063854,600,0.0583333333333333,0.0566666666666666,0.0783333333333333,0.0666666666666666,0.5616666666666666,0.1
xception,typeA_15,daesan,25.79,-1.0,6,0.902337119728424,0.8944444444444444,0.8960703379308032,0.9023371197284242,0.8944444444444445,0.896070337930803,0.9297297297297298,0.86,0.8935064935064935,600,0.7971014492753623,0.9166666666666666,0.8527131782945736,600,0.9801801801801802,0.9066666666666666,0.941991341991342,600,0.14,0.0,0.065,0.0183333333333333,0.0933333333333333,0.0
xception,typeA_15,gunsan,25.79,-1.0,11,0.5860841458978712,0.5905555555555556,0.5763962786432854,0.5860841458978712,0.5905555555555555,0.5763962786432855,0.5159362549800797,0.4316666666666666,0.47005444646098,600,0.6269315673289183,0.4733333333333333,0.5394112060778727,600,0.6153846153846154,0.8666666666666667,0.7197231833910035,600,0.22,0.3483333333333333,0.3333333333333333,0.1933333333333333,0.0616666666666666,0.0716666666666666
xception,typeA_15,yeosu,25.79,-1.0,8,0.7483926802498165,0.6644444444444444,0.6455580548933749,0.7483926802498165,0.6644444444444444,0.6455580548933748,0.7583444592790387,0.9466666666666668,0.8421052631578947,600,0.501187648456057,0.7033333333333334,0.5852981969486823,600,0.985645933014354,0.3433333333333333,0.5092707045735476,600,0.0533333333333333,0.0,0.2916666666666667,0.005,0.6466666666666666,0.01
xception,typeA_15,haeundae,25.79,-1.0,12,0.7050004298369394,0.6761111111111111,0.6455933561999022,0.7050004298369392,0.6761111111111111,0.6455933561999023,0.8482758620689655,0.82,0.8338983050847457,600,0.5692464358452138,0.9316666666666666,0.706700379266751,600,0.6974789915966386,0.2766666666666666,0.39618138424821,600,0.11,0.07,0.0183333333333333,0.05,0.595,0.1283333333333333
mobilenet,typeA_3,daesan,4.16,-1.0,4,0.9220057830847372,0.9194444444444446,0.9189227094912475,0.9220057830847372,0.9194444444444444,0.9189227094912474,0.8607784431137725,0.9583333333333334,0.9069400630914828,600,0.9253731343283582,0.8266666666666667,0.8732394366197183,600,0.9798657718120806,0.9733333333333334,0.9765886287625418,600,0.0416666666666666,0.0,0.1533333333333333,0.02,0.025,0.0016666666666666
mobilenet,typeA_3,gunsan,4.16,-1.0,2,0.8742718748055859,0.8711111111111111,0.8700818026258231,0.8742718748055859,0.8711111111111111,0.870081802625823,0.9298245614035088,0.795,0.8571428571428571,600,0.8019169329073482,0.8366666666666667,0.8189233278955954,600,0.8910741301059002,0.9816666666666668,0.9341792228390168,600,0.1883333333333333,0.0166666666666666,0.06,0.1033333333333333,0.0183333333333333,0.0
mobilenet,typeA_3,yeosu,4.16,-1.0,3,0.8406711766574521,0.7833333333333333,0.7688998688054737,0.840671176657452,0.7833333333333333,0.7688998688054737,0.9607843137254902,0.98,0.9702970297029704,600,0.6159737417943107,0.9383333333333334,0.7437252311756936,600,0.9452554744525548,0.4316666666666666,0.5926773455377574,600,0.02,0.0,0.0366666666666666,0.025,0.565,0.0033333333333333
mobilenet,typeA_3,haeundae,4.16,-1.0,1,0.7715449527215746,0.7444444444444445,0.7209982663906933,0.7715449527215748,0.7444444444444445,0.7209982663906932,0.8108882521489972,0.9433333333333334,0.8721109399075501,600,0.6533816425120773,0.9016666666666666,0.757703081232493,600,0.8503649635036497,0.3883333333333333,0.5331807780320366,600,0.0416666666666666,0.015,0.045,0.0533333333333333,0.4366666666666666,0.175
mobilenet,typeA_7,daesan,4.36,-1.0,17,0.9178916062777472,0.916111111111111,0.9166659904541522,0.9178916062777472,0.9161111111111112,0.9166659904541522,0.9180887372013652,0.8966666666666666,0.9072512647554806,600,0.8562401263823065,0.9033333333333332,0.8791565287915653,600,0.9793459552495696,0.9483333333333334,0.9635901778154108,600,0.1,0.0033333333333333,0.08,0.0166666666666666,0.0516666666666666,0.0
mobilenet,typeA_7,gunsan,4.36,-1.0,4,0.8465447778562782,0.8216666666666667,0.8205901323153517,0.8465447778562782,0.8216666666666667,0.8205901323153517,0.8912579957356077,0.6966666666666667,0.7820392890551918,600,0.9342629482071712,0.7816666666666666,0.8511796733212341,600,0.7141133896260555,0.9866666666666668,0.8285514345696291,600,0.0416666666666666,0.2616666666666666,0.085,0.1333333333333333,0.0133333333333333,0.0
